City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,oranjemund,-28.55,16.4333,18.15,92,9,2.25,NA,1737576421
242,idri,27.5,13.2667,14.82,31,38,2.93,LY,1737576422
243,sierra grande,-41.606,-65.3557,23.93,42,0,9.34,AR,1737576423
244,shalkar,47.8288,59.6258,-24.37,90,5,1.99,KZ,1737576424
245,padang,-0.9492,100.3543,25.03,86,100,1.29,ID,1737576427
246,udaipura,23.0833,78.5,17.25,50,6,0.51,IN,1737576429
247,pukchil-lodongjagu,40.2019,125.7483,-7.9,61,0,2.2,KP,1737576430
248,happy valley-goose bay,53.3168,-60.3315,-21.44,67,32,5.69,CA,1737576432
249,le vauclin,14.5452,-60.8388,28.03,74,0,5.14,MQ,1737576433
250,alice springs,-23.7,133.8833,23.75,23,4,1.54,AU,1737576434
251,hammerfest,70.6634,23.6821,-4.75,74,75,4.63,NO,1737576435
252,opuwo,-18.0607,13.84,19.13,83,99,3.11,NA,1737576437
253,carnarvon,-24.8667,113.6333,25.84,89,100,5.03,AU,1737576438
254,la ronge,55.1001,-105.2842,-13.07,82,100,4.57,CA,1737576439
255,saldanha,-33.0117,17.9442,21.03,86,83,1.88,ZA,1737576160
256,macae,-22.3708,-41.7869,27.31,83,4,2.63,BR,1737576441
257,senahu,15.4,-89.8333,12.14,100,100,1.1,GT,1737576442
258,oxford,51.7522,-1.256,2.92,94,20,1.54,GB,1737576444
259,goundam,16.4145,-3.6708,24.47,10,0,3.15,ML,1737576445
260,al qusayr,34.5091,36.5798,8.91,59,100,1.85,SY,1737576446
261,crane,31.3974,-102.3501,11.0,12,14,3.67,US,1737576447
262,markaz-e hukumat-e darweshan,31.1323,64.1934,7.78,55,0,3.12,AF,1737576448
263,banda aceh,5.5577,95.3222,25.05,86,80,1.28,ID,1737576450
264,gadzhiyevo,69.2551,33.3362,-12.78,95,98,4.32,RU,1737576451
265,hue,16.4667,107.6,17.06,94,40,1.03,VN,1737576452
266,kapuskasing,49.4169,-82.4331,-11.03,92,100,3.71,CA,1737576453
267,phongsali,21.6833,102.1058,9.39,71,55,0.41,LA,1737576454
268,san patricio,28.017,-97.5169,9.97,52,54,3.87,US,1737576456
269,arkadelphia,34.1209,-93.0538,3.92,32,0,4.63,US,1737576457
270,argo,37.6333,22.7333,9.78,78,96,2.06,GR,1737576458
271,sebastopol,44.6,33.5333,6.67,61,100,3.37,UA,1737576459
272,kishorganj,24.4333,90.7667,14.61,74,5,0.89,BD,1737576460
273,nkhotakota,-12.9274,34.2961,22.64,87,99,2.68,MW,1737576461
274,la dolorita,10.4883,-66.7861,26.91,52,0,1.34,VE,1737576463
275,grand falls-windsor,48.9332,-55.6649,-10.83,64,100,1.79,CA,1737576465
276,al burayqah,30.4062,19.5739,15.76,46,0,0.39,LY,1737576466
277,sajir,25.1825,44.5996,12.37,33,12,4.02,SA,1737576469
278,howrah,22.5892,88.3103,18.0,82,20,0.0,IN,1737576470
279,penzance,50.1186,-5.5371,5.42,73,10,6.11,GB,1737576471
280,auki,-8.7676,160.7034,25.64,88,100,1.94,SB,1737576472
281,chibuto,-24.6867,33.5306,23.7,91,4,4.42,MZ,1737576474
282,lompoc,34.6391,-120.4579,24.45,17,100,2.27,US,1737576475
283,kodinsk,58.6881,99.1844,-6.76,94,100,1.74,RU,1737576476
284,naha,26.2125,127.6811,18.95,60,74,5.14,JP,1737576477
285,taltal,-25.4,-70.4833,21.06,68,36,2.05,CL,1737576478
286,puerto lempira,15.2667,-83.7667,30.08,70,40,4.12,HN,1737576480
287,tibanbang,6.6315,126.1055,26.47,78,100,2.04,PH,1737576481
288,san luis de la loma,17.2706,-100.8939,28.35,55,0,2.99,MX,1737576482
289,zavitinsk,50.1167,129.45,-27.46,100,85,1.63,RU,1737576483
290,prince rupert,54.3161,-130.3201,6.83,86,100,16.46,CA,1737576303
291,lively,46.4334,-81.1498,-9.99,91,100,6.1,CA,1737576486
292,noumea,-22.2763,166.4572,27.22,99,100,1.68,NC,1737576487
293,kashgar,39.4547,75.9797,-2.94,46,0,0.7,CN,1737576488
294,tsetserleg,47.475,101.4542,-9.82,45,0,1.98,MN,1737576489
295,howard springs,-12.497,131.047,24.95,100,100,2.01,AU,1737576490
296,adilpur,27.937,69.3187,16.11,33,0,3.81,PK,1737576492
297,beyneu,45.3167,55.2,-9.79,67,5,5.08,KZ,1737576493
298,retreat,38.8245,-85.8533,-5.01,36,74,2.24,US,1737576494
299,verkhov'ye,52.8119,37.2425,-2.91,36,100,7.13,RU,1737576495
300,san angelo,31.4638,-100.437,12.56,20,0,3.09,US,1737576496
301,laguna,38.421,-121.4238,13.46,56,0,2.06,US,1737576498
302,egilsstadir,65.2653,-14.3948,-6.98,95,24,4.34,IS,1737576499
303,ebon,4.582,168.6964,26.95,80,17,6.43,MH,1737576501
304,sakchu-up,40.3894,125.0467,-5.12,63,0,1.7,KP,1737576502
305,aripuana,-9.1667,-60.6333,31.42,47,34,0.75,BR,1737576504
306,ulsteinvik,62.3432,5.8487,4.86,86,10,0.45,NO,1737576506
307,reconquista,-29.15,-59.65,37.5,18,98,2.6,AR,1737576507
308,vegreville,53.5001,-112.0518,-4.37,92,98,4.45,CA,1737576509
309,hadibu,12.65,54.0333,22.49,71,0,6.51,YE,1737576510
310,jiutai,44.1525,125.8328,-15.8,98,38,0.95,CN,1737576511
311,myitkyina,25.3833,97.4,14.9,77,5,1.5,MM,1737576512
312,belel,7.05,14.4333,21.13,24,73,2.22,CM,1737576513
313,myshkin,57.7897,38.4545,-3.96,73,100,6.62,RU,1737576515
314,severo-yeniseyskiy,60.3725,93.0408,-8.67,81,95,7.63,RU,1737576516
315,petropavlovsk-kamchatsky,53.0452,158.6483,-14.67,61,0,6.0,RU,1737576517
316,cidade velha,14.9167,-23.6167,21.87,68,11,5.61,CV,1737576518
317,taoudenni,22.6783,-3.9836,21.39,10,33,1.57,ML,1737576520
318,plainview,40.7765,-73.4673,-5.26,39,0,1.79,US,1737576521
319,nar'yan-mar,67.6713,53.087,-20.22,95,94,4.43,RU,1737576522
320,nagqu,31.5,92.0,-8.11,36,22,0.97,CN,1737576523
321,mancio lima,-7.6142,-72.8958,26.59,76,100,1.54,BR,1737576524
322,emmett,43.8735,-116.4993,2.18,35,3,1.95,US,1737576526
323,deder,9.3167,41.45,13.05,38,55,2.0,ET,1737576527
324,termoli,41.9888,14.9895,10.48,77,32,3.71,IT,1737576528
325,hecun,36.5333,114.1111,0.82,49,46,1.5,CN,1737576529
326,worland,44.0169,-107.9554,-1.73,57,100,5.66,US,1737576530
